order_status,orders,percentage,approval_present,carrier_present,customer_delivery_present,estimate_present,orders_with_items,orders_with_payments,orders_with_reviews,order_count_metrics,gmv_metrics,delivery_metrics,late_delivery_metrics,review_metrics,customer_metrics
approved,2,0.002011,2,0,0,2,2,2,2,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3
canceled,625,0.628513,484,75,6,625,461,625,605,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3
created,5,0.005028,0,0,0,5,0,5,3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3
delivered,96478,97.020344,96464,96476,96470,96478,96478,96477,95832,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3
invoiced,314,0.315765,314,0,0,314,312,314,309,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3
processing,301,0.302692,301,0,0,301,301,301,295,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3
shipped,1107,1.113223,1107,1107,0,1107,1106,1107,1032,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3
unavailable,609,0.612423,609,0,0,609,6,609,595,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3,PENDING_PHASE_3
