component,count,unique_values,minimum,p20,p40,median,p60,p80,maximum,skewness,unique_quantile_boundaries,qcut_bins_without_tie_breaking,assessment,cutoff_timestamp,final_feasibility_status,frequency_one_share
Recency,94986,94727,0,97.4414814814815,181.840960648148,223.785717592593,272.850219907407,387.914907407407,728.494189814815,0.447442131193386,6,5,USEFUL_VARIATION,2018-09-03 09:06:57,NOT_RECOMMENDED,0.969606047206957
Frequency,94986,9,1,1,1,1,1,1,16,11.5096543981317,2,1,INSUFFICIENT_VARIATION,2018-09-03 09:06:57,NOT_RECOMMENDED,0.969606047206957
Monetary,94983,8242,0.85,39.9,69.9,89.89,109.9,179.9,13440,9.63749447513573,6,5,USEFUL_VARIATION,2018-09-03 09:06:57,NOT_RECOMMENDED,0.969606047206957
