variable,statistic_type,population,count,missing_count,zero_count,mean,median,std,minimum,p25,p75,p90,p95,p99,maximum,skewness
order_product_gmv,Diagnostic Statistic,item-bearing commercial orders,98199,0,0,137.418922188617,86.9,209.306418460474,0.85,45.9,149.9,269.9,399.8,995.020000000004,13440,9.77167296726178
order_item_count,Diagnostic Statistic,item-bearing commercial orders,98199,0,0,1.14156966975224,1,0.537555722336993,1,1,1,1,2,3,21,7.54733445439434
order_freight_value,Diagnostic Statistic,item-bearing commercial orders,98199,0,338,22.8222923858695,17.19,21.6457644578413,0,13.86,24.05,39.472,54.9,104.882,1794.96,12.098668955353
order_freight_burden,Diagnostic Statistic,item-bearing commercial orders,98199,0,338,0.208925854112049,0.183256067630215,0.125737457293837,0,0.11660777385159,0.275628158133831,0.383696780893043,0.456374014677902,0.593811074918567,0.955450733752621,1.06481947979409
delivery_lead_time_days,Diagnostic Statistic,endpoint-qualified delivered orders,96470,0,0,12.558217098052,10.2174768518519,9.54615637792742,0.533414351851852,6.7662037037037,15.7201822916667,23.0963773148148,29.2740462962963,46.0502618055555,209.628611111111,3.83337707342412
order_level_review_score,Diagnostic Statistic,all reviewed orders,98673,0,0,4.08679341528753,5,1.34627423511441,1,4,5,5,5,5,5,-1.36475682326724
customer_eligible_order_count,Diagnostic Statistic,observed commercial customers,94986,0,0,1.03385762112311,1,0.210807482324691,1,1,1,1,1,2,16,11.5096543981317
observed_customer_product_gmv,Diagnostic Statistic,observed commercial customers,94983,3,0,142.07174694419,89.89,216.074999092372,0.85,47.9,155,281.592000000001,420,1004.99,13440,9.63749447513573
