payment_type,payment_record_count,payment_bearing_orders,recorded_payment_value,average_recorded_payment_value,average_installments,maximum_installments,recorded_payment_value_share
credit_card,76795,76505,12542084.19,163.31902063936454,3.507155413763917,24,0.7834458352834915
boleto,19784,19784,2869361.27,145.03443540234534,1.0,1,0.17923569183960725
voucher,5775,3866,379436.87,65.70335411255411,1.0,1,0.023701661625865997
debit_card,1529,1528,217989.79,142.57017004578157,1.0,1,0.013616811251035218
not_defined,3,3,0.00,0.0,1.0,1,0.0
